Node,Relationship,Attributes
StudentVisa,TYPE_OF,"Visa"
GraduateVisa,TYPE_OF,"Visa"
ChildStudentVisa,TYPE_OF,"Visa"
SkilledWorkerVisa,TYPE_OF,"Visa"
MarriageVisa,TYPE_OF,"Visa"
StandardVisitorVisa,TYPE_OF,"Visa"
TouristVisa,TYPE_OF,"Visa"
FamilyVisa,TYPE_OF,"Visa"
BorderControl,BASIC_LAW,"Compliance with UK entry requirements, Passport and visa validity, Declaration of goods"
TaxforIndividualsComingtotheUK,BASIC_LAW,"Tax residency rules, Income tax obligations"
Eligibility_StudentVisa,ELIGIBILITY_FOR,"Must be 16 or over, Offer from a licensed sponsor, Financial resources, English language proficiency, Parental consent if under 18"
Eligibility_GraduateVisa,ELIGIBILITY_FOR,"Completed a degree at a UK higher education provider, Valid Student Visa at time of application"
Eligibility_ChildStudentVisa,ELIGIBILITY_FOR,"Must be between 4 to 17, Offer from licensed sponsor, Financial resources, Parental consent"
Eligibility_SkilledWorkerVisa,ELIGIBILITY_FOR,"Job offer from a licensed sponsor, Salary meets required threshold, English language proficiency"
Eligibility_MarriageVisa,ELIGIBILITY_FOR,"Must be married to a British citizen or settled person, Relationship must be genuine and subsisting, Adequate accommodation and financial support"
Eligibility_StandardVisitorVisa,ELIGIBILITY_FOR,"Intention to visit the UK for tourism, business, or other permitted activities, Intention to leave at the end of the visit, Sufficient funds to cover expenses"
Eligibility_TouristVisa,ELIGIBILITY_FOR,"Plan to visit the UK for tourism or leisure, Intent to leave at the end of the visit, Must meet the requirements of the standard visitor visa"
Eligibility_FamilyVisa,ELIGIBILITY_FOR,"Must be a spouse, partner, child, parent, or other dependent relative of a British citizen or settled person, Relationship must be genuine and subsisting, Adequate accommodation and financial support"
Documents_StudentVisa,REQUIRES_DOCUMENTS,"Valid passport or travel document, Confirmation of Acceptance for Studies (CAS), Financial evidence, TB test certificate (if applicable)"
Documents_GraduateVisa,REQUIRES_DOCUMENTS,"Passport, CAS number, Proof of completion of degree"
Documents_ChildStudentVisa,REQUIRES_DOCUMENTS,"Passport, Offer from licensed sponsor, Financial evidence, Parental consent letter"
Documents_SkilledWorkerVisa,REQUIRES_DOCUMENTS,"Certificate of Sponsorship (CoS), Passport, Proof of English language ability"
Documents_MarriageVisa,REQUIRES_DOCUMENTS,"Marriage certificate, Proof of relationship, Sponsor’s passport or proof of UK immigration status, Proof of income and accommodation"
Documents_StandardVisitorVisa,REQUIRES_DOCUMENTS,"Passport, Proof of funds, Travel itinerary, Letter of invitation (if applicable)"
Documents_TouristVisa,REQUIRES_DOCUMENTS,"Passport, Proof of funds, Travel itinerary, Hotel booking"
Documents_FamilyVisa,REQUIRES_DOCUMENTS,"Proof of relationship, Sponsor’s passport or proof of UK immigration status, Proof of income and accommodation"
Fees_StudentVisa,HAS_FEES,"Application fee: £490, Health care surcharge which varies with visa duration"
Fees_GraduateVisa,HAS_FEES,"Application fee: £822, Immigration Health Surcharge"
Fees_ChildStudentVisa,HAS_FEES,"Application fee: £490, Healthcare surcharge"
Fees_SkilledWorkerVisa,HAS_FEES,"Up to 3 years: £719, More than 3 years: £1,420, Healthcare surcharge"
Fees_MarriageVisa,HAS_FEES,"£1,846 (if applying from outside the UK), £1,258 (if applying from inside the UK), Healthcare surcharge"
Fees_StandardVisitorVisa,HAS_FEES,"6 months: £115, 2 years: £432, 5 years: £771, 10 years: £963"
Fees_TouristVisa,HAS_FEES,"Same as Standard Visitor Visa"
Fees_FamilyVisa,HAS_FEES,"Applying Outside the UK: £1,846 (each person), Applying Inside the UK: £1,258 (each person)"
ProcessingTime_StudentVisa,PROCESSING_TIME,"Outside the UK: Usually within 3 weeks, Inside the UK: Usually within 8 weeks"
ProcessingTime_GraduateVisa,PROCESSING_TIME,"Up to 8 weeks"
